"Table 1","","","","","","","","","","","","","",""
"Whole-rock major element analyses of the Monte Santo Suite. MSM- Monte Santo Massif, EM- Estrela Massif, NMD- Nepheline monzodiorite, NMS- Nepheline monzosyenite, NS- Neph-","","","","","","","","","","","","","",""
"eline syenite, AFS- Alkali feldspar syenite.","","","","","","","","","","","","","",""
"Rock Type","NS","NS","","NS","","NS","","NS","","AFS","AFS","AFS","AFS","AFS"
"Massif","MSM","MSM","","MSM","","MSM","","MSM","","MSM","MSM","MSM","MSM","MSM"
"Sample no.","MS22B","MS88A","","MS122A","","MS336","","MS400","","MS140","MS293","MS316C","MS365","MS398"
"Major elements (wt%)","","","","","","","","","","","","","",""
"SiO2","59.9","60.87","","61.44","","57.94","","62.02","","59.31","58.31","57.25","58.07","58.15"
"TiO2","0.007","0.031","","0.053","","0.024","","0.029","","0.143","0.083","0.044","0.09","0.083"
"Al2O3","20.81","20.13","","21.72","","20.42","","19.75","","21.05","20.06","20.25","21.23","21.21"
"t","","","","","","","","","","","","","",""
"Fe2O3","4.45","4.6","","2.18","","6.26","","3.66","","4.95","5.65","6.94","4.05","4.73"
"MnO","0.076","0.095","","0.084","","0.243","","0.082","","0.112","0.189","0.152","0.066","0.121"
"MgO","0.03","0.04","","0.02","","0.04","","0.06","","0.17","0.11","0.06","0.11","0.08"
"CaO","0.4","0.43","","0.39","","0.94","","0.12","","0.85","1.83","1.13","0.78","0.55"
"Na2O","10.64","7.87","","8.84","","9.68","","7.82","","8.52","8.55","7.27","7.97","7.18"
"K2O","2.24","5.57","","3.26","","3.84","","5.13","","4.02","3.26","5.48","4.89","6.09"
"P2O5","b0.01","0.02","","b0.01","","0.03","","b0.01","","0.07","0.06","0.01","0.06","0.02"
"LOI","0.43","0.69","","1.26","","0.88","","0.65","","0.9","1.88","1.35","1.36","1.18"
"Total","98.98","100.3","","99.24","","100.3","","99.32","","100.1","99.99","99.93","98.68","99.39"
"C","n.a.","n.a.","","n.a.","","n.a.","","n.a.","","n.a.","n.a.","n.a.","n.a.","n.a."
"S","n.a.","n.a.","","n.a.","","n.a.","","n.a.","","n.a.","n.a.","n.a.","n.a.","n.a."
"","Felsic Normative Minerals (CIPW norm, wt%)","","","","","","","","","","","","",""
"Orthoclase","13.2","32.9","","19.3","","22.7","","30.3","","23.8","19.3","32.4","28.9","36.0"
"Albite","61.4","47.2","","65.8","","44.6","","55.7","","52.0","51.2","37.0","45.4","39.1"
"Anorthite","2.0","2.0","","1.9","","0.9","","0.6","","3.8","6.7","5.5","3.5","2.6"
"Nepheline","15.5","10.5","","4.9","","20.2","","5.7","","10.9","11.5","13.3","11.9","11.7"
"Leucite","0.0","0.0","","0.0","","0.0","","0.0","","0.0","0.0","0.0","0.0","0.0"
"Rock Type","NMD","","NSM","","NMS","","NS","","NS","","NS","NS","NS","AFS"
"Massif","EM","","EM","","EM","","EM","","EM","","EM","EM","EM","EM"
"Sample no.","EVES13","","EVES05","","EVES06","","EVES04","","EVES14","","EVES37","EVES44","EVES50","EVES01"
"Major elements (wt%)","","","","","","","","","","","","","",""
"SiO2","45.8","","57.9","","49.4","","56.2","","61.1","","59.4","59.8","57.1","61.7"
"TiO2","1.15","","b0.01","","0.02","","0.18","","0.05","","0.05","0.06","0.02","0.27"
"Al2O3","14.8","","24.9","","29.1","","23.1","","21.8","","22.4","19.85","24.4","18.9"
"t","","","","","","","","","","","","","",""
"Fe2O3","11.7","","0.37","","1.51","","4.84","","2.89","","3.25","6","3.05","4.52"
"MnO","0.2","","0.01","","0.04","","0.15","","0.06","","0.11","0.15","0.07","0.13"
"MgO","7.11","","0.03","","0.86","","0.22","","0.03","","0.08","0.11","0.09","0.32"
"CaO","8.45","","0.91","","0.37","","0.93","","0.37","","0.62","0.62","0.93","0.71"
"Na2O","4.56","","10.25","","14.15","","9.27","","9.37","","9.98","7.99","11.05","7.18"
"K2O","3.89","","5.67","","3.22","","5.5","","4.47","","3.39","5.2","2.4","5.15"
"P2O5","0.14","","b0.01","","0.02","","0.06","","0.01","","0.01","0.02","0.01","0.11"
"LOI","1.83","","0.95","","0.91","","0.85","","0.43","","0.91","0.49","1.04","0.61"
"Total","99.63","","100.99","","99.6","","101.3","","100.58","","100.2","100.29","100.16","99.6"
"C","0.44","","0.12","","0.08","","0.05","","0.07","","0.07","0.04","0.08","0.05"
"S","0.01","","0.01","","0.01","","0.01","","0.01","","0.01","0.01","0.03","0.01"
"","Felsic Normative Minerals (CIPW norm, wt%)","","","","","","","","","","","","",""
"Orthoclase","16.1","","33.5","","19.0","","32.5","","26.4","","20.0","30.7","14.2","30.4"
"Albite","0.0","","31.1","","16.8","","28.8","","52.3","","53.4","45.3","50.8","54.5"
"Anorthite","8.4","","4.5","","1.7","","4.2","","1.8","","3.0","2.9","4.5","2.8"
"Nepheline","20.9","","30.1","","55.8","","26.9","","14.6","","16.8","12.1","23.1","3.4"
"Leucite","5.4","","0.0","","0.0","","0.0","","0.0","","0.0","0.0","0.0","0.0"
