"12","","","","E. Valentin et al. / Lithos 366–367 (2020) 105552","","","","",""
"Table 2 (continued)","","","","","","","","",""
"Rock Type","NMD","NMS","NMS","NS","NS","NS","NS","NS","AFS"
"Massif","EM","EM","EM","EM","EM","EM","EM","EM","EM"
"Sample no.","EVES13","EVES05","EVES06","EVES04","EVES14","EVES37","EVES44","EVES50","EVES01"
"Dy","3.88","0.96","12.75","7.24","0.8","1.12","0.58","18.2","2.55"
"Ho","0.84","0.22","2.41","1.62","0.23","0.29","0.22","3.75","0.55"
"Er","2.22","0.48","5.54","5.09","0.93","1.29","0.7","11.25","1.5"
"Tm","0.33","0.09","0.61","0.85","0.19","0.23","0.13","1.78","0.24"
"Yb","2.08","0.52","3.27","6.23","1.81","1.84","1.31","12.95","2.16"
"Lu","0.31","0.07","0.45","1.05","0.33","0.41","0.26","2.06","0.37"
"∑REE","106.47","38.67","1015.91","235.88","17.65","105.52","50.6","1209.07","96.94"
"La/SmN","2.94","7.35","7.69","5.38","6.96","17.49","14.26","10.23","3.47"
"Gd/LuN","1.52","1.71","4.49","0.68","0.19","0.31","0.21","1.07","0.84"
"Eu/Eu*","1.01","0.40","0.20","0.38","0.22","0.29","0.28","0.19","0.46"
